composer,piece,n,S,A,W
Beethoven,07-3_reviewed,60,0.6,0.1,0.3
Beethoven,07-4_reviewed,225,0.4177777777777778,0.3377777777777778,0.24444444444444444
Beethoven,08-1_reviewed,382,0.5,0.32722513089005234,0.17277486910994763
Beethoven,08-2_reviewed,116,0.646551724137931,0.0603448275862069,0.29310344827586204
Beethoven,08-3_reviewed,269,0.5353159851301115,0.26022304832713755,0.20446096654275092
Beethoven,09-1_reviewed,267,0.48314606741573035,0.31835205992509363,0.19850187265917604
Beethoven,09-2_reviewed,182,0.5,0.2802197802197802,0.21978021978021978
Beethoven,09-3_reviewed,229,0.37117903930131,0.388646288209607,0.24017467248908297
Beethoven,10-1_reviewed,241,0.5850622406639004,0.23651452282157676,0.17842323651452283
Beethoven,10-2_reviewed,265,0.5358490566037736,0.17358490566037735,0.29056603773584905
Beethoven,10-3_reviewed,246,0.47560975609756095,0.3089430894308943,0.21544715447154472
Beethoven,16-1_reviewed,220,0.5681818181818182,0.20909090909090908,0.22272727272727272
Beethoven,16-2_reviewed,176,0.5397727272727273,0.30113636363636365,0.1590909090909091
Beethoven,16-3_reviewed,516,0.5135658914728682,0.25775193798449614,0.22868217054263565
Beethoven,17-1_reviewed,231,0.4025974025974026,0.27705627705627706,0.3203463203463203
Beethoven,17-2_reviewed,135,0.5259259259259259,0.2740740740740741,0.2
Beethoven,17-3_reviewed,229,0.5807860262008734,0.18340611353711792,0.23580786026200873
Beethoven,18-1_reviewed,211,0.5497630331753555,0.17061611374407584,0.2796208530805687
Beethoven,18-2_reviewed,219,0.4703196347031963,0.3059360730593607,0.2237442922374429
Beethoven,18-3_reviewed,118,0.5254237288135594,0.22033898305084745,0.2542372881355932
Beethoven,18-4_reviewed,209,0.44976076555023925,0.11004784688995216,0.44019138755980863
Beethoven,19-1_reviewed,125,0.488,0.296,0.216
Beethoven,19-2_reviewed,288,0.4236111111111111,0.3958333333333333,0.18055555555555555
Beethoven,20-1_reviewed,191,0.5287958115183246,0.19895287958115182,0.27225130890052357
Beethoven,20-2_reviewed,131,0.5114503816793893,0.17557251908396945,0.31297709923664124
Beethoven,21-1_reviewed,398,0.45979899497487436,0.3391959798994975,0.20100502512562815
Beethoven,21-2_reviewed,47,0.5531914893617021,0.2765957446808511,0.1702127659574468
Beethoven,21-3_reviewed,510,0.3352941176470588,0.34901960784313724,0.3156862745098039
Beethoven,23-1_reviewed,300,0.4666666666666667,0.3,0.23333333333333334
Beethoven,23-2_reviewed,157,0.5159235668789809,0.19745222929936307,0.28662420382165604
Beethoven,23-3_reviewed,243,0.49382716049382713,0.345679012345679,0.16049382716049382
Beethoven,24-1_reviewed,191,0.5863874345549738,0.17801047120418848,0.2356020942408377
Beethoven,24-2_reviewed,236,0.5211864406779662,0.2288135593220339,0.25
Beethoven,26-1_reviewed,362,0.39779005524861877,0.287292817679558,0.3149171270718232
Beethoven,26-2_reviewed,79,0.4177215189873418,0.189873417721519,0.3924050632911392
Beethoven,26-3_reviewed,216,0.6574074074074074,0.10648148148148148,0.2361111111111111
