mc	mn	mc_onset	mn_onset	timesig	staff	voice	label	offset_x	offset_y	offset	alt_label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note	n_colored	n_untouched	count_ratio	dur_colored	dur_untouched	dur_ratio
21	21	9/8	9/8	12/8	2	1	V					A	ii		V	V							M	0	1	6, 10, 7		6	6	3	4	0.4285714285714285	0.375	0.75	0.3333333333333333
22	22	0	0	12/8	2	1	I.V6/V|EC}{					A	I		V6/V	V		6.0		V	EC	}{	M	0	0	9, 6, 5		5	9	3	5	0.375	0.375	1.625	0.1875
22	22	5/8	5/8	12/8	2	1	V					A	I		V	V							M	0	0	4, 8, 5		4	4	0	2	0.0	0.0	0.25	0.0
22	22	3/4	3/4	12/8	2	1	V64/V					A	I		V64/V	V		64.0		V			M	0	0	6, 5, 9		5	6	1	4	0.2	0.125	0.75	0.1428571428571428
22	22	1	1	12/8	2	1	V2/V					A	I		V2/V	V		2.0		V			Mm7	0	0	3, 5, 9, 6		5	3	0	2	0.0	0.0	0.25	0.0
22	22	9/8	9/8	12/8	2	1	V6					A	I		V6	V		6.0					M	0	0	8, 5, 4		4	8	2	3	0.4	0.25	0.5	0.3333333333333333
22	22	11/8	11/8	12/8	2	1	viio6/V	0.0	-5.0	/		A	I		viio6/V	vii	o	6.0		V			o	0	0	6, 3, 9		9	6	0	3	0.0	0.0	0.375	0.0
23	23	0	0	12/8	2	1	V					A	I		V	V							M	0	0	4, 8, 5		4	4	1	4	0.2	0.125	0.75	0.1428571428571428
23	23	1/4	1/4	12/8	2	1	V6					A	I		V6	V		6.0					M	0	0	8, 5, 4		4	8	0	2	0.0	0.0	0.25	0.0
23	23	3/8	3/8	12/8	2	1	vi7					A	I		vi7	vi		7.0					mm7	0	0	6, 3, 7, 4		6	6	0	5	0.0	0.0	0.875	0.0
23	23	5/8	5/8	12/8	2	1	ii					A	I		ii	ii							m	0	0	5, 2, 6		5	5	0	2	0.0	0.0	0.25	0.0
23	23	3/4	3/4	12/8	2	1	V7					A	I		V7	V		7.0					Mm7	0	0	4, 8, 5, 2		4	4	0	5	0.0	0.0	0.875	0.0
23	23	1	1	12/8	2	1	I					A	I		I	I							M	0	0	3, 7, 4		3	3	0	2	0.0	0.0	0.25	0.0
23	23	9/8	9/8	12/8	2	1	V65/V					A	I		V65/V	V		65.0		V			Mm7	0	0	9, 6, 3, 5		5	9	1	6	0.1428571428571428	0.125	1.25	0.0909090909090909
24	24	0	0	12/8	2	1	V					A	I		V	V							M	0	0	4, 8, 5		4	4	2	4	0.3333333333333333	0.25	1.75	0.125
24	24	3/8	3/8	12/8	2	1	V6					A	I		V6	V		6.0					M	0	0	8, 5, 4		4	8	3	3	0.5	0.375	0.375	0.5
24	24	3/4	3/4	12/8	2	1	V					A	I		V	V							M	0	0	4, 8, 5		4	4	2	4	0.3333333333333333	0.25	1.25	0.1666666666666666
24	24	1	1	12/8	2	1	V6					A	I		V6	V		6.0					M	0	0	8, 5, 4		4	8	0	2	0.0	0.0	0.25	0.0
24	24	9/8	9/8	12/8	2	1	I					A	I		I	I							M	0	0	3, 7, 4		3	3	0	2	0.0	0.0	0.25	0.0
24	24	5/4	5/4	12/8	2	1	V65					A	I		V65	V		65.0					Mm7	0	0	8, 5, 2, 4		4	8	0	4	0.0	0.0	0.5	0.0
25	25	0	0	12/8	2	1	I					A	I		I	I							M	0	0	3, 7, 4		3	3	2	4	0.3333333333333333	0.25	1.75	0.125
25	25	3/8	3/8	12/8	2	1	I6					A	I		I6	I		6.0					M	0	0	7, 4, 3		3	7	3	3	0.5	0.375	0.375	0.5
25	25	3/4	3/4	12/8	2	1	I					A	I		I	I							M	0	0	3, 7, 4		3	3	2	4	0.3333333333333333	0.25	1.25	0.1666666666666666
25	25	1	1	12/8	2	1	I6					A	I		I6	I		6.0					M	0	0	7, 4, 3		3	7	0	2	0.0	0.0	0.25	0.0
25	25	9/8	9/8	12/8	2	1	IV					A	I		IV	IV							M	0	0	2, 6, 3		2	2	0	2	0.0	0.0	0.25	0.0
25	25	5/4	5/4	12/8	2	1	V65/IV					A	I		V65/IV	V		65.0		IV			Mm7	0	0	7, 4, 1, 3		3	7	0	4	0.0	0.0	0.5	0.0
26	26	0	0	12/8	2	1	IV					A	I		IV	IV							M	0	0	2, 6, 3		2	2	2	4	0.3333333333333333	0.25	1.75	0.125
26	26	3/8	3/8	12/8	2	1	IV6					A	I		IV6	IV		6.0					M	0	0	6, 3, 2		2	6	3	3	0.5	0.375	0.375	0.5
26	26	3/4	3/4	12/8	2	1	IV					A	I		IV	IV							M	0	0	2, 6, 3		2	2	1	6	0.1428571428571428	0.125	1.375	0.0833333333333333
26	26	9/8	9/8	12/8	2	1	ii7					A	I		ii7	ii		7.0					mm7	0	0	5, 2, 6, 3		5	5	0	6	0.0	0.0	0.75	0.0
27	27	0	0	12/8	2	1	V7					A	I		V7	V		7.0					Mm7	0	0	4, 8, 5, 2		4	4	1	4	0.2	0.125	1.375	0.0833333333333333
